polish,dutch,tip,favourite
przygotować,bereiden,,
ciało,het lichaam,,
rozczarowanie,de teleurstelling,,
twarz,het gezicht,,
podróżować,reizen,,
wracać,terugkomen,,
zaskoczony,verrast,,
plik,het bestand,,
zbierać,verzamelen,,
spóżnić się,te laat komen,,
kaszleć,hoesten,,
brzuch,de buik,,
śmieszny,grappig,,
cierpliwy,geduldig,,
wąski,smal,,
nudny,saai,,
satysfakcja,de voldoening,,
kolorowy,kleurrijk,,
znajomy,de kennis,,
przelew,de overschrijving,,
skręcać,afslaan,,
grzeszyć,zondigen,,
dostosować,aanpassen,,
modyfikować,wijzigen,,
rozszerzać,uitbreiden,,
bez przerwy,doorlopend,,
dane,gegevens,,
usuwać,verwijder,,
pokazać,tonen,,
opóżnienie,vertraging,,
sukces,gelukt,,
gdyby,indien,,
malować,schilderen,,
rysować,tekenen,,
na czas określony,tijdelijk,,
para (dwoje),stel,,
pochmurno,bewolkt,,
kredyt,de lening,,
długopis,de balpen,,
gorączka,de koorts,,
wybory,de verkiezing,,
rzadko,zelden,,
doświadczenie,de ervaring,,
rozbierać,uitkleden,,
poznać,kennismaken,,
czysty,zuiver,,
oferować,annbieden,,
uczestniczyć,meedoen,,
dać,geven,,
około,ongeveer,,
podążać,volgen,,
